,sub_num,galaxy,condition,age,n_prac,block,planet,true_planet,prt,initial_reward,leave_thresh,total_reward,avg_rt,catch_perf,catch_rt,mean,mode,mean_post,mode_post,gal_0_trans_0,gal_0_trans_1,gal_0_trans_2,gal_1_trans_0,gal_1_trans_1,gal_1_trans_2,gal_2_trans_0,gal_2_trans_1,gal_2_trans_2,opt_prt,opt_prt_om,prt_rel_mvt,prt_rel_om
87,46,0,1.0,39.0,1.0,2.5,13.25,30.875,3.75,100.875,7.9375,11847.0,109.84836310586608,2.0,3639.5,2.75,3.0,2.4285714285714284,1.0,0.6996598639455783,0.22755102040816325,0.07278911564625849,0.05555555555555555,0.611111111111111,0.3333333333333333,0.21212121212121207,0.13636363636363635,0.6515151515151515,2.0,2.0,1.75,1.75
88,46,1,1.0,39.0,1.0,3.8,27.25,60.3,5.4,100.9,7.575,11847.0,119.09197617862569,2.0,3639.5,2.75,3.0,2.428571428571429,1.0,0.59875,0.20375000000000004,0.1975,0.04367802706771259,0.7080573152880468,0.24826465764424055,0.07928550207961974,0.23744800950683304,0.6832664884135472,2.85,2.75,2.55,2.65
89,46,2,1.0,39.0,1.0,2.625,18.4375,37.625,12.1875,98.5,12.71875,11847.0,118.93002448297186,2.0,3639.5,2.75,3.0,2.4285714285714284,1.0,0.5890624999999999,0.23281250000000006,0.17812499999999998,0.034722222222222224,0.6163194444444444,0.34895833333333326,0.1212152662152662,0.11433362933362932,0.7644511044511043,6.125,7.1875,6.0625,5.0
90,47,0,1.0,60.0,1.0,2.3846153846153846,19.692307692307693,31.76923076923077,3.1538461538461537,102.6923076923077,20.423076923076923,13925.0,210.23183330821666,2.0,3016.05,2.7058823529411766,2.0,2.3999999999999995,2.0,0.76768278018278,0.17526755651755654,0.057049663299663295,0.0,0.611570247933884,0.3884297520661157,0.24415584415584413,0.10735930735930736,0.6484848484848484,2.0,2.0,1.1538461538461537,1.1538461538461537
91,47,1,1.0,60.0,1.0,3.8846153846153846,38.76923076923077,63.57692307692308,3.1538461538461537,100.07692307692308,36.98076923076923,13925.0,143.6160000004,2.0,3016.050000000001,2.7058823529411757,2.0,2.399999999999999,2.0,0.6878698224852069,0.14053254437869833,0.17159763313609472,0.0,0.6793480469889811,0.3206519530110188,0.12121465491030703,0.23653846153846153,0.6422468835512316,2.923076923076923,2.230769230769231,0.23076923076923078,0.9230769230769231
92,47,2,1.0,60.0,1.0,2.727272727272727,25.727272727272727,40.95454545454545,5.863636363636363,100.0909090909091,39.93181818181818,13925.0,190.48588057064381,2.0,3016.050000000001,2.7058823529411757,2.0,2.399999999999999,2.0,0.7070883661792751,0.1646535282898919,0.12825810553083278,0.0,0.5797061524334249,0.4202938475665748,0.12317972050391332,0.14892526143078996,0.7278950180652964,5.5,6.590909090909091,0.36363636363636365,-0.7272727272727273
93,48,0,1.0,35.0,1.0,2.6153846153846154,23.46153846153846,37.07692307692308,3.6153846153846154,97.46153846153847,29.307692307692307,10797.0,254.7505556015834,2.0,4702.800000499999,3.5,2.0,3.928571428571429,2.0,0.6826930014430016,0.21779701779701777,0.09950998075998076,0.0,0.5629370629370629,0.43706293706293714,0.2212121212121212,0.11818181818181818,0.6606060606060606,1.9230769230769231,2.0,1.6923076923076923,1.6153846153846154
94,48,1,1.0,35.0,1.0,3.9,47.6,65.3,1.7,100.36666666666666,50.416666666666664,10797.0,180.04142853313215,2.0,4702.800000499996,3.5,2.0,3.9285714285714297,2.0,0.6062179487179488,0.21884615384615405,0.17493589743589746,0.0,0.666433893511911,0.3335661064880889,0.13465419233393086,0.16631333445058935,0.6990324732154795,2.5,3.0,-0.8,-1.3
95,48,2,1.0,35.0,1.0,3.2222222222222223,37.44444444444444,54.27777777777778,1.8888888888888888,101.0,61.138888888888886,10797.0,178.66397848309677,2.0,4702.800000499996,3.5,2.0,3.9285714285714284,2.0,0.6084110334110338,0.21769619269619278,0.17389277389277388,0.0,0.5803235344902012,0.41967646550979887,0.14526609681061692,0.1334184808966491,0.7213154222927339,4.472222222222222,7.722222222222222,-2.5833333333333335,-5.833333333333333
96,50,0,1.0,42.0,1.0,2.2,14.1,26.4,2.8,99.3,23.9,13008.0,471.0851851837037,2.0,2652.9000000000005,3.166666666666667,2.0,2.857142857142857,2.0,0.754673721340388,0.20321869488536154,0.04210758377425044,0.03409090909090909,0.6553030303030303,0.31060606060606055,0.24242424242424238,0.10227272727272727,0.6553030303030303,2.0,2.0,0.8,0.8
